
Entrada,Tempo
2,29
10,220
20,392
30,445
40,625
50,896
60,1151
70,1244
80,1474
90,1715
100,1891
110,1857
120,2074
130,2268
140,2369
150,2653
160,2940
170,3097
180,3124
190,3549
200,3630
210,3650
220,4120
230,4085
240,4490
250,4378
260,4709
270,4700
280,4889
290,5078
300,5529
310,5540
320,5603
330,5730
340,5907
350,6214
360,5996
370,6376
380,6804
390,7103
400,6993
410,7508
420,7747
430,7419
440,7887
450,8219
460,8428
470,8554
480,8392
490,8639
500,8753
510,9190
520,9370
530,9668
540,9796
550,9850
560,10031
570,10266
580,9770
590,10608
600,10500
610,10869
620,11416
630,11175
640,11356
650,11631
660,11499
670,11655
680,12107
690,12193
700,12285
710,12552
720,12864
730,13128
740,12794
750,13669
760,13403
770,13637
780,14211
790,14056
800,14402
810,14596
820,14904
830,15112
840,15137
850,15254
860,15532
870,15173
880,15866
890,16370
900,16375
910,16740
920,16398
930,16566
940,16913
950,17080
960,17410
970,17157
980,17504
