
Entrada,Tempo
2,29
10,143
20,283
30,337
40,442
50,807
60,893
70,910
80,1135
90,1322
100,1398
110,1362
120,1622
130,2210
140,2283
150,2569
160,2575
170,2971
180,3034
190,3411
200,3669
210,3971
220,4222
230,4408
240,4738
250,4964
260,5205
270,5526
280,5917
290,6103
300,6330
310,6695
320,6827
330,7098
340,7431
350,7757
360,7972
370,8330
380,8555
390,8842
400,9156
410,9363
420,9665
430,9954
440,10225
450,10583
460,10779
470,11049
480,11383
490,11695
500,11957
510,12230
520,12533
530,12781
540,13063
550,13386
560,13690
570,13924
580,14279
590,14506
600,14855
610,15088
620,15353
630,15694
640,15977
650,16271
660,16527
670,16828
680,17103
690,17337
700,17723
710,17948
720,18255
730,18550
740,18826
750,19117
760,19392
770,19696
780,19946
790,20261
800,20566
810,20848
820,21101
830,21443
840,21702
850,22005
860,22283
870,22527
880,22825
890,23116
900,23410
910,23673
920,23975
930,24267
940,24551
950,24845
960,25099
970,25417
980,25709
